datetime,headline,summary,source,url,related,ticker
2025-11-18 18:00:20,"TY: A Solid Hybrid CEF, But AI Concerns Might Be Headwinds","Tri-Continental Corporation (TY) offers a hybrid portfolio of equities and bonds, targeting long-term capital growth and current income for investors. Read the full analysis here.",SeekingAlpha,https://finnhub.io/api/news?id=92fc6bf10a2ef1de22fc240f72158e9a3abc76c212ffb8a6de791d73f1aca922,AAPL,AAPL
2025-11-18 15:04:17,Apple Gains 25% Share of China Smartphone Market on iPhone 17 Demand,Apple captured a quarter of China's smartphone market in October as sales of the iPhone 17 series accelerated.,Yahoo,https://finnhub.io/api/news?id=6ac9fe5dc92cf86d89561e3f72ffcb3053030c0d2e18dcb424c74227cbae6de2,AAPL,AAPL
2025-11-18 14:41:58,"Stock Market Today: Dow Jones Index Dives 400 Points; Nvidia, Palantir Extending Their Losses (Live Coverage)","Stock Market Today: The Dow Jones index dropped 400 points Tuesday. Home Depot, Nvidia and Palantir were early losers.",Yahoo,https://finnhub.io/api/news?id=4d354e0f0b867732b42e039eb32e059dacd8e991732ab25a0ce37ced847df63a,AAPL,AAPL
2025-11-18 12:34:26,Apple Reclaims China Market -- iPhone 17 Drives Share to 25%,Apple Hits 25% Share in China as New Models Outperform,Yahoo,https://finnhub.io/api/news?id=c05141cdcf1a9a12710a38c2f99a8014e70e0a98b21722913273560098502f3a,AAPL,AAPL
2025-11-18 12:32:52,"Berkshire Hathaway: Buffett Sticks To His Guns, Dismiss His Warning At Your Own Peril","Discover key insights from Buffett's Q3 13F report, focusing on his strategic stock sales and cautionary moves.",SeekingAlpha,https://finnhub.io/api/news?id=b8f96b98ff05e64b608dfa413be2ef74ff8d69819a7262e0624d9a2bb33b870c,AAPL,AAPL
2025-11-18 12:02:00,Better Semiconductor Stock: TSMC vs. ASML,Which of these bellwethers of the semiconductor market is a better buy?,Yahoo,https://finnhub.io/api/news?id=2e039de9df1729631a4436afbdd88dcec80fb426242fdd6fcd34044688fc23e4,AAPL,AAPL
2025-11-18 12:00:49,Take This Investing Lesson to the Grave,"? This is an online version of my Markets A.M. newsletter.  Around 11 years ago, a podcast mentioned a study by Fidelity Investments, which was repeated in several media articles and blog posts.  A phone call to Fidelity could have cleared things up.",Yahoo,https://finnhub.io/api/news?id=799e613bc1d68857c3b115287c8749802b76dc752a25de839a8b767e53e021e3,AAPL,AAPL
2025-11-18 11:28:38,Apple Jumps to 25% Market Share in China,iPhone 17 lineup sparks a major rebound for Apple,Yahoo,https://finnhub.io/api/news?id=8b95a2e7417e7a4bd8bdc30af36b016436f2ea3589386284e82c19ccda4328ed,AAPL,AAPL
2025-11-18 11:17:10,Stagwell Inc. (STGW) is a Buy at Needham Amid Deals with Tech Giants,"Stagwell Inc. (NASDAQ:STGW) is a must-buy penny stock to buy now. On November 4, Needham analyst Laura Martin reiterated a Buy rating on Stagwell Inc. (NASDAQ:STGW) and lifted the price target from $6.36 to $7.25, impressed by the strategic partnership the company has inked with technology companies. According to the analyst, deals with OpenAI, Google, […]",Yahoo,https://finnhub.io/api/news?id=eb9119d2840ec21ef583898da056eb94f1fdc5d29c7f7186469bfc23da427590,AAPL,AAPL
2025-11-18 11:17:04,RSPT: Not My Preferred Tech ETF,The Invesco S&P 500 Equal Weight Technology ETF (RSPT) has underperformed market cap weighted tech ETFs due to lack of mega cap exposure.,SeekingAlpha,https://finnhub.io/api/news?id=88ab7a7b0e81d35d37cff72b548021ca0c1d65f9456e253324d8c81b956bbc58,AAPL,AAPL
2025-11-18 11:09:15,QTEC: Technology Sector Dashboard For November,"Tech stocks are overvalued, but some areas still offer value. Learn more and discover six affordable picks for November.",SeekingAlpha,https://finnhub.io/api/news?id=0416fc9b41156af6507e49c2a6e8301c6864865efb27aad45e638dfc546e13d1,AAPL,AAPL
2025-11-18 11:00:42,Google earns the Berkshire Hathaway vote of confidence,Investors see a path for Google in an uncertain moment for AI.,Yahoo,https://finnhub.io/api/news?id=78455c3149ab2ed741d18cbab69c972b74adffb8d4d5e49f1199d55662a9897e,AAPL,AAPL
2025-11-18 10:15:36,Meta Platforms: Is Today's AI Cycle A Repeat Of The Metaverse Overbuild?,,SeekingAlpha,https://finnhub.io/api/news?id=d439dfbc6772423be18245ad0b99cd293712f9bc5f7f9550d09f865ea6fea977,AAPL,AAPL
2025-11-18 09:25:00,Billionaire Warren Buffett Just Made a Massive $4 Billion Investment in This Artificial Intelligence (AI) Stock,Berkshire Hathaway is spreading its wings into new Magnificent Seven stocks.,Yahoo,https://finnhub.io/api/news?id=7a4268c2635e7b5eea721a8e423c7f8e406ed6dbc16f3f3ed428ec2522cc68f3,AAPL,AAPL
2025-11-18 09:17:28,"LIVE: Wall Street, FTSE and European markets tumble as fears of AI bubble and US slowdown rattle investors","'I think no company is going to be immune, including us,' Alphabet CEO Sundar Pichai said.",Yahoo,https://finnhub.io/api/news?id=a95cbb172c4a14caa0bf7ba3b187d9febd9ef7ceff0e820d09cd13ed0b6df17f,AAPL,AAPL
2025-11-18 08:56:30,"China smartphone market sees 8% growth in October, iPhone 17 leads surge","Investing.com -- China’s smartphone market grew 8% year-over-year in October, with Apple Inc (NASDAQ:AAPL) capturing 25% of all sales as the iPhone 17 series continues its strong performance.",Yahoo,https://finnhub.io/api/news?id=902df9a7313ae8ecf666a90ecd41893b844ac264bc86ca93dd552907b9910731,AAPL,AAPL
2025-11-18 08:45:00,Apple: As A Shareholder I Am Concerned About Their Ability To Innovate,Apple posts record Q4 2025 earnings but faces growth concerns amid limited innovation and AI investment.,SeekingAlpha,https://finnhub.io/api/news?id=873c347d6dd634fa820d4aca2512fc0c5cec304f97e2380bfd5e571fbed205f3,AAPL,AAPL
2025-11-18 08:20:25,Apple takes 25% share of China smartphone market in October on iPhone 17 demand,"Apple last ‌achieved this market share milestone in 2022 when competition in the premium segment was weaker.  China’s overall smartphone sell-through grew 8% year-over-year in October, driven by Apple and domestic manufacturers, data showed.  ⁠All three iPhone 17 ‌variants posted mid-to-high double-digit percentage growth, led by the base variant, Counterpoint said.",Yahoo,https://finnhub.io/api/news?id=1bf96192c869d2b66fccfb49ca8dae296d993f4db780a5e9aaa9c97b9b517654,AAPL,AAPL
2025-11-18 08:05:16,"Home Depot earnings, 'quiet time' in the job market, Panera's new strategy and more in Morning Squawk",Here are five key things investors need to know to start the trading day.,CNBC,https://finnhub.io/api/news?id=9d831cc8a34053db3d12ef17423e7a100201ddd9444d33344e3c34ee0db04ea3,AAPL,AAPL
2025-11-18 06:00:58,How to spot subtle pregnancy discrimination in a job interview,"Discriminatory views about maternity leave are widespread, with some UK employers admitting they would avoid hiring pregnant women.",Yahoo,https://finnhub.io/api/news?id=a784240fa31c54a68d13cde83197b313e43501e5ac6a785629d68125f5c9f01b,AAPL,AAPL
2025-11-18 06:00:35,"Bank savings to be protected up to £120,000 under new UK rules","From December, UK bank customers will see an increase in the amount they can be reimbursed if their bank fails.",Yahoo,https://finnhub.io/api/news?id=257fdc9580d8b05748fca94662a1e93a539a1390643f761dd828ab27157a4c08,AAPL,AAPL
2025-11-18 04:08:50,Apple’s iPhone Sales Surge in China to Take 25% Market Share,"The figures suggest Apple’s year-on-year upgrades are resonating with consumers and support Chief Executive Officer Tim Cook’s prediction that the company will return to growth in China this quarter.  Each of the successor models, from the 5,999-yuan (about $850) iPhone 17 to the 8,999-yuan 17 Pro Max, outperformed its iPhone 16 precursor in sales by a double-digit percentage, according to Counterpoint.",Yahoo,https://finnhub.io/api/news?id=8b0296dc9c3e35e4b6f1c1337599d551e9294ef388761202d6a38c30e885e4a5,AAPL,AAPL
2025-11-18 03:44:00,"Dow Jones Futures: Apple, Google, Nvidia, Palantir, Tesla Big Movers Amid Stock Market Drop","Dow Jones Futures: Apple, Google, Nvidia, Palantir and Tesla were big movers Monday during the stock market sell-off.",Yahoo,https://finnhub.io/api/news?id=d01dc7d52bf3531d1200b85bbcce561f6df56c66b20584cec5208c6d4ae906ba,AAPL,AAPL
2025-11-18 03:12:02,UBS Reiterates Neutral on Apple (AAPL) as iPhone Wait Times Remain Flat,"Apple Inc. (NASDAQ:AAPL) is one of the AI Stocks Investors Are Watching. On November 12, UBS reiterated the stock as “Neutral” and stated that its checks show Apple’s iPhone wait times are “flat.” “UBS Evidence Lab data that tracks iPhone availability across 30 geographies suggests more of the same: wait times are flat to down WoW […]",Yahoo,https://finnhub.io/api/news?id=094fe389b68e8fc9ce5e162dc8be9959796e5174adc24d97075fb80c14265b56,AAPL,AAPL
2025-11-18 02:30:01,CNBC Daily Open: We could still close the year with a rally despite AI slump,"Despite the recent sell-off in tech over concerns about high valuations and capital expenditure, some analysts think we could still end the year with a rally.",CNBC,https://finnhub.io/api/news?id=6b11ef8fc7a32c0ade3056d28c94ca58904ce50f4699f8a38a1cf3b2432a5e62,AAPL,AAPL
2025-11-18 02:20:00,Alger Growth & Income Fund Q3 2025 Portfolio Update,Class A shares of the Alger Growth & Income Fund outperformed the S&P 500 Index during the third quarter of 2025. Read more here.,SeekingAlpha,https://finnhub.io/api/news?id=a9aed37ae53cd7ae0c3285035d1e9c5d6f8c5d7f6be69a78292dd1493d6b3bb2,AAPL,AAPL
2025-11-18 01:58:02,IDC: Apple still has room to grow in the India smartphone market,"Navkendar Singh, Vice President of IDC India, expects Apple's India sales to grow by another 10% to 15% annually over the next four to five years. He also explains how & why Chinese smartphone brands continue to lead India's smartphone market.",CNBC,https://finnhub.io/api/news?id=6d08e8a6dc60d3b9f89b33f30828d38b1a5c58789ca8763ede929c1904f05180,AAPL,AAPL
2025-11-17 22:09:00,"Tech, Media & Telecom Roundup: Market Talk","Find insight on Masimo’s jury verdict against Apple, Sinclair’s stake in E.W. Scripps, Japanese AI-themed stocks and more in the latest Market Talks covering Technology, Media and Telecom.",Yahoo,https://finnhub.io/api/news?id=daec3eb255e28ae715c26787d400901849a488e6b3816c183761b9e1443aee5e,AAPL,AAPL
